script_id,start_time,end_time,text,emotion,use
Ses01F_script01_3_M027,268.56,270.7875,Pretty much all.,sad,train
Ses01F_script01_3_F030,270.66,273.26,"Aw, geez.",sad,validation
Ses01F_script01_3_M028,272.44,283.5024,You can't just toss off a thing like that because they weren't just men. You know?,sad,train
Ses01F_script01_3_M029,283.73,304.58,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks. He just put them in my pocket. That's a little thing, you know, but that's what kind of guys I had.",sad,train
Ses01F_script01_3_M030,304.7751,319.99,"They didn't die, they killed themselves for each other. I mean that, exactly. Just a little more selfish and they would all be here today.",sad,train
Ses01F_script01_3_M032,345.9,359.22,"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",sad,train
Ses01F_script01_3_M033,360.2517,378.35,"But then I came home and it was incredible, you know? The whole thing was just kind of this random bus accident. You know, I went back to the rat race again, I went to work.",sad,train
Ses01F_script01_3_M036,401.91,412.59,And I didn't want any of it. I guess that included you.,sad,train
Ses01F_script01_3_F035,459.57,463.06,What would I do with a fortune?,hap,test
Ses01F_script02_1_F006,54.72,57.69,You keep saying my flashlight like it's just yours.,ang,train
Ses01F_script02_1_F007,57.75,59.57,How's that supposed to make me feel?,ang,train
Ses01F_script02_1_F009,101.72,103.5025,[LAUGHTER],hap,train
Ses01F_script02_1_F010,110.77,112.69,I'm cold.,sad,train
Ses01F_script02_1_M036,253.17,261.4425,"God, this is great. Think about this. I know you are not interested, but just think about this.",hap,train
Ses01F_script02_1_M043,324.15,327.0891,So what do you think?,hap,train
Ses01F_script02_1_M044,328.24,331.9283,"About all of that, about all I was talking about.",hap,test
Ses01F_script02_2_F006,55.67,61.96,"Don't ask me that. I hate it when you ask me that, you always ask me that. It's insulting.",ang,train
Ses01F_script02_2_F008,75.66,81.6545,"For God- Grow up, Augie. The fish are not going to arrive.",ang,validation
Ses01F_script02_2_F009,82.34,86.54,Because they never do. Have they...Have they ever?,ang,validation
Ses01F_script02_2_F010,87.71,91.3205,Twice is every time we have tried; that's ever.,ang,test
Ses01F_script02_2_F015,124.0928,134.59,"I feel like I'm always just standing here waiting. I feel like this night is going to be the night, but it never is.",sad,train
Ses01F_script02_2_F016,136.16,139.33,"For God's sake, this is not about fish.",ang,test
Ses01F_script02_2_F019,187.8883,204.1594,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them. And I remember thinking, this is it. You know, finally, I am as happy as I'm supposed to be.",hap,test
Ses01F_script02_2_F022,227.2196,233.5946,I'd rather not remember some things. I'd rather not hope for some things.,sad,test
Ses01F_script02_2_M024,249.09,250.92,Do you want to take off your shoes?,hap,train
Ses01F_script02_2_M026,256.83,260.8204,Do you want to get married again?,hap,test
Ses01F_script02_2_F034,339.34,343.81,"I know you are Augie, I know.",sad,test
Ses01F_script02_2_F035,352.66,366.2026,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",sad,train
Ses01F_script02_2_M037,366.2026,369.0947,"Maybe if you were with someone else, too.",sad,train
Ses01F_script02_2_F036,368.63,370.8,I didn't say that.,sad,train
Ses01F_script02_2_M038,373.51,377.1344,I just- I know I don't make you happy.,sad,train
Ses01F_script02_2_F040,394.9704,404.96,"You're the one who probably wishes he was with somebody else. Somebody who doesn't take things so seriously, who could enjoy herself.",sad,validation
Ses01F_script02_2_F042,428.83,435.06,"Hmm. I noticed that, it's pretty. Big old white moon.",hap,train
Ses01F_script02_2_M044,436.304,439.48,And look what I got here.,hap,train
Ses01F_script02_2_F043,438.98,442.815,"Augie, you bought refreshments.",hap,train
Ses01F_script02_2_F044,444.2349,446.37,I guess we don't need glasses.,hap,train
Ses01F_script02_2_M046,445.99,447.8802,[BREATHING],hap,train
Ses01F_script02_2_F045,455.5669,460.16,I'm beginning to think this might be the right spot after all.,hap,train
Ses01F_script02_2_F046,463.6525,466.1765,"Augie, I'm sorry.",sad,validation
Ses01F_script02_2_M049,476.671,479.1565,Or not.,hap,test
Ses01F_script03_1_M007,39.5,45.775,No. Wrong number. [LAUGHTER],hap,train
Ses01F_script03_1_F005,41.17,47.64,[LAUGHTER] That sent shivers up my spine.,hap,test
Ses01F_script03_1_M008,46.72,51.9842,What shall we do if they suddenly walk in on us.[LAUGHTER],hap,train
Ses01F_script03_1_M009,53.28,55.33,With perfect poise.,hap,train
Ses01F_script03_1_M010,56.37,64.43,"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy. Do they?",hap,test
Ses01F_script03_1_F010,74.65,77.18,Yes. Meaning just that.,hap,test
Ses01F_script03_1_M013,76.32,86.518,"Well what does it all mean? That's what I ask myself in my quest for ultimate truth. Dear God, what does it all mean?",hap,test
Ses01F_script03_1_F011,84.47,88.26,Don't laugh at me. I'm being serious.,hap,train
Ses01F_script03_1_M018,118.0823,120.53,Who knows?,hap,test
Ses01F_script03_1_F020,165.1525,169.7325,[LAUGHTER],hap,train
Ses01F_script03_1_M025,168.69,176.27,Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.,hap,train
Ses01F_script03_1_F021,174.8825,178.85,"Oh Elliott, worms don't pop.",hap,validation
Ses01F_script03_1_M026,178.97,195.6,"Oh See, I don't care what you do, see. You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world. I shan't say a word, just as long as you love me best.",hap,train
Ses01F_script03_1_F022,194.85,204.01,"Aw. Thank you, darling. The same applies to you too, except that if you so much as look at another woman I'll kill you.",hap,test
Ses01F_script03_1_M034,241.6,245.87,"That was a rouser, wasn't it?",hap,train
Ses01F_script03_1_F029,250.22,262.43,"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER] How utterly, utterly ridiculous.",hap,validation
Ses01F_script03_1_M036,256.85,262.0325,[LAUGHTER] I'll never forget his face. [LAUGHTER],hap,validation
Ses01F_script03_1_M037,262.3975,267.45,[LAUGHTER] We were very much younger then.,hap,validation
Ses01F_script03_1_F030,262.46,269.64,[LAUGHTER] And very much sillier.,hap,train
Ses01F_script03_2_F000,4.81,10.06,And very much sillier.,hap,train
Ses01F_script03_2_F001,15.48,19.55,Oh. You knew there was nothing in that.,hap,test
Ses01F_script03_2_F002,22.31,26.13,"Presents? It was only a trivial, little brooch.",hap,train
Ses01F_script03_2_M007,52.67,55.2693,What about me?,ang,test
Ses01F_script03_2_F013,100.2315,102.31,Don't be stupid.,ang,test
Ses01F_script03_2_M014,101.9,104.15,"Really, Amanda.",ang,test
Ses01F_script03_2_F014,103.27,105.45,What?,ang,test
Ses01F_script03_2_F015,114.8512,119.6,No. I am just making myself fascinating for you.,ang,validation
Ses01F_script03_2_F016,121.95,126.54,Oh. It's a woman's duty to allure the man.,ang,validation
Ses01F_script03_2_F017,128.71,130.48,No it isn't.,ang,train
Ses01F_script03_2_F018,130.95,132.79,You shut up.,ang,train
Ses01F_script03_2_M020,132.31,137.4,"Oh really. It's a pity you didn't have any brandy, it would have made you a little less disagreeable.",ang,train
Ses01F_script03_2_M021,140.8379,144.03,"Snap, snap, snap. You know you are like a little adder.",ang,validation
Ses01F_script03_2_M022,145.67,152.95,Nonsense. They have a bag of venom behind their fangs and they snap. They snap.,ang,validation
Ses01F_script03_2_F021,149.98,158.4966,They sting. I don't care. Do you understand? I don't care if they bark and they roll about like hoops.,ang,train
Ses01F_script03_2_M023,157.82,161.54,Did you see much of Peter Burden after our divorce?,ang,train
Ses01F_script03_2_F022,160.75,163.38,"Yes I did, quite a lot.",ang,train
Ses01F_script03_2_M024,162.77,175.52,"And I suppose you let him kiss you a good deal more than, too. Yes. I suppose you guys had a riotous time, huh? All out, no restraint at all. Well, you never really had much anyhow.",ang,train
Ses01F_script03_2_F023,165.69,167.93,Mind your own business.,ang,test
Ses01F_script03_2_F024,175.11,179.46,"You're quite insufferable, I expect it's because you are drunk.",ang,test
Ses01F_script03_2_M025,178.77,183.26,I think I am not in the least bit drunk.,ang,train
Ses01F_script03_2_F025,182.03,184.91,You've always had a weak head.,ang,test
Ses01F_script03_2_M026,184.35,193.4894,I think I mentioned once before that I've had three minute liquor glasses the whole evening long. A child of two cannot get drunk on that.,ang,test
Ses01F_script03_2_F026,193.03,198.88,"On the contrary, a child of two can get violently drunk on only one glass of brandy.",ang,train
Ses01F_script03_2_M027,197.91,212.75,"That's very interesting Amanda. How about a child of four? Or a child of six? Or a child of nine? We can get a good little conversation going on about this, you know, intemperate tots.",ang,test
Ses01F_script03_2_F027,201.33,203.3069,Oh shut up.,ang,train
Ses01F_script03_2_F028,205.33,207.8,Shut up.,ang,train
Ses01F_script03_2_F029,212.4025,215.4525,"Not very funny, darling. Why don't you have some more brandy.",ang,train
Ses01F_script03_2_M029,224.5224,229.6,"Look, you better turn that off. I don't want to wake up the people upstairs.",ang,test
Ses01F_script03_2_M030,233.405,235.7308,Well then you'll wake up the people downstairs.,ang,train
Ses01F_script03_2_M032,243.8542,246.8036,I will do no such thing.,ang,train
Ses01F_script03_2_F034,246.5557,251.6118,Fine if you insist on being boorish and idiotic.,ang,train
Ses01F_script03_2_M033,251.3391,257.01,"Will you turn that off, it's driving me mad.",ang,train
Ses01F_script03_2_F035,256.48,260.4175,"You are far too temperamental, try to control yourself.",ang,validation
Ses01F_script03_2_M034,260.4625,263.64,Turn it off.,ang,train
Ses01F_script03_2_F036,262.89,271.72,"I won't. Let go, let go of me. Listen, listen? I'm sick and tired of listening to you, you sadistic bully.",ang,train
Ses01F_script03_2_M035,264.8475,267.19,"Amanda, listen, listen.",ang,train
Ses01F_script03_2_M036,269.3425,273.61,Oh. That's very amusing indeed.,ang,validation
Ses01F_script03_2_F037,272.73,283.08,"Oh shut up. Let go. I hate you, I hate you. Do you hear? You are a conceited and overbearing and utterly impossible.",ang,train
Ses01F_script03_2_M037,277.5875,286.56,"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live.",ang,validation
Ses01F_script03_2_F038,287.295,292.72,This is the end. Do you hear me? Finally and forever.,ang,train
Ses01F_script03_2_M038,293.2325,295.3,You're not going like this.,ang,test
Ses01F_script03_2_F039,294.63,296.62,Oh. Yes I am.,ang,test
Ses01F_script03_2_M039,295.96,297.455,You're not.,ang,test
Ses01F_script03_2_F040,297.03,315.46,"Yes I am. Stop it. Stop it. Let go of me. Oh. You're a cruel fiend. I loathe and I hate you. Marry you again? Never, never, never. I hope you die in torment, you brute beast cad.",ang,test
Ses01F_script03_2_M040,298.65,314.65,"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee. You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live.",ang,test
Ses01M_impro01_F000,6.77,8.46,Next.,ang,test
Ses01M_impro01_F001,8.55,10.6,My window is open.,ang,test
Ses01M_impro01_F007,39.89,43.31,"No, I need your ID to give you a second ID.",ang,train
Ses01M_impro01_F008,43.31,47.0461,It's really simple if you have a problem with it... Maybe you should--,ang,train
Ses01M_impro01_F011,61.05,63.21,What do you expect me to do?,ang,train
Ses01M_impro01_F012,65.545,67.47,Probably.,ang,train
Ses01M_impro01_M020,96.91,100.53,Did you even look at the form? I filled it out all these questions--,ang,test
Ses01M_impro01_F019,98.46,102.07,Don't raise your voice with me.,ang,train
Ses01M_impro01_F020,105.76,109.09,Don't talk to me like I'm a child.,ang,train
Ses01M_impro01_F021,109.19,114.1025,Do you know how long I've been working here? How long have you lived in California?,ang,test
Ses01M_impro01_F022,114.13,124.82,"Maybe you never been to the D.M.V. before, maybe you should get back in line. You know what? sit in line again and if you get my number ask for different one.",ang,test
Ses01M_impro01_M025,118.835,122.18,I am not...I'm not getting to back that line.,ang,test
Ses01M_impro01_M030,148.0,149.12,Why?,ang,train
Ses01M_impro01_M031,149.18,151.85,"Why, because I'm sick of talking to you.",ang,train
Ses01M_impro01_M032,151.85,157.36,"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",ang,train
Ses01M_impro02_M001,13.76,17.52,I have to go back.,sad,train
Ses01M_impro02_M002,19.33,23.63,I just got a letter I have to go back.,sad,test
Ses01M_impro02_M003,27.11,29.825,First thing tomorrow morning.,sad,test
Ses01M_impro02_M007,49.66,58.18,"The National Guard is I guess really spread thin and then everyone has to go. We all have to go back, my whole companies going back.",sad,train
Ses01M_impro02_M009,75.73,78.6525,"So yeah, we leave tomorrow...",sad,train
Ses01M_impro02_M010,79.18,81.86,...we're all shipping out.,sad,train
Ses01M_impro02_M011,82.09,86.28,I just got I feel like I'm in shock actually.,sad,validation
Ses01M_impro02_F009,85.84,89.14,I don't even know what to tell you.,sad,train
Ses01M_impro02_M012,88.825,90.655,I don't know.,sad,validation
Ses01M_impro02_F010,90.39,93.65,What about the birthday party?,sad,train
Ses01M_impro02_M013,95.45,99.875,I guess you're just going to have to have it without me.,sad,validation
Ses01M_impro02_M014,106.1,114.44,"Hey listen, it's going to be okay though, all right?",sad,train
Ses01M_impro02_M015,115.0275,117.31,You're going to be fine.,sad,test
Ses01M_impro02_M016,122.03,126.42,"I'm going to be fine too, okay?",sad,test
Ses01M_impro02_M017,131.06,137.74,I know I have a good... I have a really good group of guys with me.,sad,test
Ses01M_impro02_M018,137.75,140.94,We're going to be okay.,sad,train
Ses01M_impro02_F013,144.54,148.6,You're going with the same ones?,sad,train
Ses01M_impro02_M019,149.06,152.58,Do promise me you're going to take a lot of pictures.,sad,train
Ses01M_impro02_M020,154.43,156.51,I know.,sad,train
Ses01M_impro02_F015,157.42,160.11,It's not the same though.,sad,train
Ses01M_impro02_M021,163.8,167.56,I just wish there was something I could do.,sad,train
Ses01M_impro02_M022,170.94,173.01,Run away?,sad,train
Ses01M_impro02_F017,172.41,177.35,Mm hmm. We'll build a bunker and never come out.,sad,train
Ses01M_impro02_M023,183.77,189.08,"I really don't want to go, I don't want to go...",sad,test
Ses01M_impro02_F019,201.7575,204.05,Don't say that.,sad,train
Ses01M_impro02_M025,214.59,217.04,I love you.,sad,test
Ses01M_impro04_M014,119.31,120.59,What?,ang,train
Ses01M_impro04_M018,139.46,147.2,"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.",ang,train
Ses01M_impro04_M023,172.34,178.643,I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,ang,test
Ses01M_impro05_M004,26.1923,31.08,Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,ang,test
